0,0
1,0.1283
2,2.052801
3,10.392305
4,32.844815
5,80.187537
6,166.276878
7,308.048444
8,525.517045
9,841.776692
10,1283.000598
11,1878.441176
12,2660.43004
13,3664.573998
14,4932.897221
15,6509.708592
16,8442.023892
17,10763.14312
18,13422.76294
19,16456.91685
20,19918.07673
21,23859.36391
22,28335.59075
23,33404.1235
24,39125.69791
25,45576.65095
26,53076.41997
27,61815.68135
28,71891.99503
29,83408.81298
30,96478.09989
31,111223.8158
32,127787.0094
33,146334.1518
34,167072.7775
35,190286.9727
36,2.16E+05
37,2.47E+05
38,2.81E+05
39,3.15E+05
40,3.51E+05
41,3.88E+05
42,4.26E+05
43,4.66E+05
44,5.06E+05
45,5.49E+05
46,5.92E+05
47,6.38E+05
48,6.85E+05
49,7.34E+05
50,7.85E+05
51,8.37E+05
52,8.92E+05
53,9.50E+05
54,1.01E+06
55,1.07E+06
56,1.13E+06
57,1.20E+06
58,1.27E+06
59,1.34E+06
60,1.41E+06
61,1.49E+06
62,1.55E+06
63,1.62E+06
64,1.68E+06
65,1.75E+06
66,1.83E+06
67,1.90E+06
68,1.98E+06
69,2.06E+06
70,2.14E+06
71,2.23E+06
72,2.32E+06
73,2.41E+06
74,2.51E+06
75,2.60E+06
76,2.70E+06
77,2.80E+06
78,2.90E+06
79,3.00E+06
80,3.11E+06
81,3.23E+06
82,3.35E+06
83,3.48E+06
84,3.62E+06
85,3.76E+06
86,3.91E+06
87,4.07E+06
88,4.22E+06
89,4.37E+06
90,4.51E+06
91,4.64E+06
92,4.76E+06
93,4.88E+06
94,5.00E+06
95,5.12E+06
96,5.24E+06
97,5.36E+06
98,5.49E+06
99,5.62E+06
100,5.76E+06
101,5.90E+06
102,6.04E+06
103,6.18E+06
104,6.33E+06
105,6.48E+06
106,6.64E+06
107,6.80E+06
108,6.96E+06
109,7.13E+06
110,7.30E+06
111,7.48E+06
112,7.67E+06
113,7.89E+06
114,8.11E+06
115,8.35E+06
116,8.60E+06
117,8.86E+06
118,9.13E+06
119,9.42E+06
120,9.72E+06
121,1.00E+07
122,1.04E+07
123,1.07E+07
124,1.10E+07
125,1.14E+07
126,1.17E+07
127,1.20E+07
128,1.24E+07
129,1.27E+07
130,1.31E+07
131,1.34E+07
132,1.38E+07
133,1.41E+07
134,1.45E+07
135,1.48E+07
136,1.52E+07
137,1.55E+07
138,1.59E+07
139,1.63E+07
140,1.66E+07
141,1.70E+07
142,1.73E+07
143,1.77E+07
144,1.81E+07
145,1.85E+07
146,1.88E+07
147,1.92E+07
148,1.96E+07
149,2.00E+07
150,2.03E+07
151,2.07E+07
152,2.11E+07
153,2.15E+07
154,2.19E+07
155,2.23E+07
156,2.27E+07
157,2.31E+07
158,2.35E+07
159,2.39E+07
160,2.43E+07
161,2.47E+07
162,2.51E+07
163,2.55E+07
164,2.59E+07
165,2.63E+07
166,2.68E+07
167,2.72E+07
168,2.76E+07
169,2.80E+07
170,2.84E+07
171,2.89E+07
172,2.93E+07
173,2.97E+07
174,3.02E+07
175,3.06E+07
176,3.11E+07
177,3.15E+07
178,3.20E+07
179,3.24E+07
180,3.29E+07
181,3.33E+07
182,3.38E+07
183,3.43E+07
184,3.47E+07
185,3.52E+07
186,3.57E+07
187,3.62E+07
188,3.66E+07
189,3.71E+07
190,3.76E+07
191,3.81E+07
192,3.86E+07
193,3.91E+07
194,3.96E+07
195,4.01E+07
196,4.06E+07
197,4.12E+07
198,4.17E+07
199,4.22E+07
200,4.28E+07
201,4.33E+07
202,4.38E+07
203,4.44E+07
204,4.50E+07
205,4.55E+07
206,4.61E+07
207,4.67E+07
208,4.72E+07
209,4.78E+07
210,4.84E+07
211,4.90E+07
212,4.96E+07
213,5.02E+07
214,5.08E+07
215,5.15E+07
216,5.21E+07
217,5.27E+07
218,5.34E+07
219,5.41E+07
220,5.47E+07
221,5.54E+07
222,5.61E+07
223,5.68E+07
224,5.74E+07
225,5.81E+07
226,5.88E+07
227,5.96E+07
228,6.03E+07
229,6.10E+07
